Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","9095.510866","X","Sources internationales sûres","Consolidated General Government Expenditure"
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","288.423438","X","Sources internationales sûres","Consolidated General Government Expenditure"
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","34.955836","X","Sources internationales sûres","Consolidated General Government Expenditure"
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2017","2017","millions","9026.265435","X","Sources internationales sûres","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2017","2017","millions","288.423438","X","Sources internationales sûres","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","2","Afghanistan","6110","Valeur US $","23174","Protection de lénvironnement (Administration Centrale)","2017","2017","millions","24.13229","X","Sources internationales sûres","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","118821.281476","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","1608.695933","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2017","2017","millions","1166.285802","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2017","2017","millions","442.410131","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2017","2017","millions","1461.250888","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2017","2017","millions","1023.190611","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2017","2017","millions","438.060277","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2017","2017","millions","89.172003","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2017","2017","millions","85.272134","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2017","2017","millions","3.899869","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2017","2017","millions","58.198044","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2017","2017","millions","57.748059","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2017","2017","millions","0.449985","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2017","2017","millions","159.369644","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","884.295279","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated General Government Expenditure"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2017","2017","millions","67786.996713","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2017","2017","millions","923.668956","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23162","Agriculture, sylviculture, pêche, Courantes (Administration Centrale)","2017","2017","millions","569.380863","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23163","Agriculture, sylviculture, pêche, Capital (Administration Centrale)","2017","2017","millions","354.36309","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23164","Agriculture (Administration Centrale)","2017","2017","millions","776.298909","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23165","Agriculture, Courantes (Administration Centrale)","2017","2017","millions","426.285673","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23166","Agriculture, Capital (Administration Centrale)","2017","2017","millions","350.013236","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23167","Sylviculture (Administration Centrale)","2017","2017","millions","89.172003","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23168","Sylviculture, Courantes (Administration Centrale)","2017","2017","millions","85.272134","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","202","Afrique du Sud","6110","Valeur US $","23169","Sylviculture, Capital (Administration Centrale)","2017","2017","millions","3.899869","Qm","Données officielles collectées dans les questionnaires et/ou sources nationales et/ou COMTRADE (données rapportées par le pays)","Consolidated Central Government Expenditure Excluding Social Security Funds"
