Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.1499","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","683.4876","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","4558722.6652","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","27","Riz, paddy","2017","2017","kg CO2eq/kg product","1.2279","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","27","Riz, paddy","2017","2017","gigagrammes","415.5514","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","27","Riz, paddy","2017","2017","tonnes","338420","","Donnée officielle"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","11.9775","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","1122.1773","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","867","Viande, bovine","2017","2017","tonnes","93690","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","3.1958","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","5712.3781","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","1787442","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","22.6161","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","1057.9881","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","1017","Viande, caprin","2017","2017","tonnes","46780","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1020","Lait, entier frais de chèvre","2017","2017","kg CO2eq/kg product","4.9038","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1020","Lait, entier frais de chèvre","2017","2017","gigagrammes","562.469","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","1020","Lait, entier frais de chèvre","2017","2017","tonnes","114701","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","11.6561","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","1312.1052","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","977","Viande, ovin","2017","2017","tonnes","112568","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","982","Lait, entier frais de brebis","2017","2017","kg CO2eq/kg product","6.7379","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","982","Lait, entier frais de brebis","2017","2017","gigagrammes","1392.5541","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","982","Lait, entier frais de brebis","2017","2017","tonnes","206675","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1130","Lait, entier frais de chamelle","2017","2017","kg CO2eq/kg product","4.0242","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1130","Lait, entier frais de chamelle","2017","2017","gigagrammes","27.4589","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","1130","Lait, entier frais de chamelle","2017","2017","tonnes","6824","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","0.4091","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1058","Viande, volaille","2017","2017","gigagrammes","11.4021","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","5510","Production","1058","Viande, volaille","2017","2017","tonnes","27871","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","2","Afghanistan","71761","Intensité des émissions","1062","Œufs de poule en coquille","2017","2017","kg CO2eq/kg product","3.0938","Fc","Donnée calculée"
"EI","Intensités des émissions","2","Afghanistan","7231","Émissions (CO2eq)","1062","Œufs de poule en coquille","2017","2017","gigagrammes","61.8759","Fc","Donnée calculée"
