Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18623.026651","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","349006.689642","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13019.729856","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","170097.205312","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3682602.479929","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3000.160225","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","122123.858628","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","284.214339","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1467.977778","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","688586.127746","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","642695.596034","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11527.458713","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3056.206704","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1416783.718751","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","417237.869116","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","40866.632048","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12490.7","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35473.776596","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4978.15","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","502698.069367","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1836.593466","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12701.655846","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","7142.315691","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2450.366316","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Sources internationales sûres",""
